XLitho	YLitho	wavelength
1e-06	7e-06	54
1e-06	9e-06	
		
2.5e-06	9e-06	
2.5e-06	7e-06	
		
4e-06	7e-06	
4e-06	9e-06	
		
5.5e-06	9e-06	
5.5e-06	7e-06	
		
7e-06	7e-06	
7e-06	9e-06	
		
8.5e-06	9e-06	
8.5e-06	7e-06	
		
1e-06	4e-06	
1e-06	6e-06	
		
2.5e-06	6e-06	
2.5e-06	4e-06	
		
4e-06	4e-06	
4e-06	6e-06	
		
5.5e-06	6e-06	
5.5e-06	4e-06	
		
7e-06	4e-06	
7e-06	6e-06	
		
8.5e-06	6e-06	
8.5e-06	4e-06	
		
1e-06	1.01e-06	
1e-06	3.01e-06	
		
2.5e-06	3.01e-06	
2.5e-06	1.01e-06	
		
4e-06	1.01e-06	
4e-06	3.01e-06	
		
5.5e-06	3.01e-06	
5.5e-06	1.01e-06	
		
7e-06	1.01e-06	
7e-06	3.01e-06	
		
8.5e-06	3.01e-06	
8.5e-06	1.01e-06	
		
